StateName,State,Count,Ave,Year,Possibility,Jan,Feb,Mar,Api,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,zero,fiveh,twok,twokplus,Jantwokplus,Febtwokplus,Martwokplus,Apitwokplus,Maytwokplus,Juntwokplus,Jultwokplus,Augtwokplus,Septwokplus,Octtwokplus,Novtwokplus,Dectwokplus,Jantwok,Febtwok,Martwok,Apitwok,Maytwok,Juntwok,Jultwok,Augtwok,Septwok,Octtwok,Novtwok,Dectwok,Janfiveh,Febfiveh,Marfiveh,Apifiveh,Mayfiveh,Junfiveh,Julfiveh,Augfiveh,Sepfiveh,Octfiveh,Novfiveh,Decfiveh,Janzero,Febzero,Marzero,Apizero,Mayzero,Junzero,Julzero,Augzero,Sepzero,Octzero,Novzero,Deczero
Hawaii,HI,1628,157103,17.92185718,91,7.421105897,6.86312801,7.086319165,7.142116953,6.639936855,6.305150123,3.682654054,5.635576658,8.425466093,18.2458769,6.86312801,6.528341278,570,270,21.00000001,1.000000005,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,4,0,3,1,0,3,0,2,2,23,26,24,24,24,12,17,15,19,41,24,21,40,36,40,34,46,52,24,46,69,105,33,45
Idaho,ID,244,272887,31.13016199,8,0.160615933,0.289108679,0.321231865,0.674586917,0.867326036,1.027941969,1.124311528,1.252804274,1.092188342,0.610340544,0.224862306,0.192739119,92.00000001,38.99999999,11.99999999,11.00000001,0,0,0,1,3,0,1,0,2,3,0,1,0,3,1,0,0,1,3,0,1,3,0,0,1,0,2,4,4,4,10,5,7,0,1,1,2,4,4,7,8,17,8,15,16,5,3,3
Illinois,IL,3424,593113,67.66062058,51,0.827660159,0.945897325,2.290845083,3.281081345,5.438909618,3.694911425,8.35049982,9.665888288,8.217483009,4.596469813,2.261285792,1.034575199,698.9999997,568,258,296,0,0,8,20,41,12,5,43,86,59,21,1,5,4,14,23,38,15,22,21,63,36,16,1,5,12,31,38,62,55,82,110,90,50,22,11,15,14,21,44,56,61,162,148,89,43,28,18
Indiana,IN,1354,327800,37.39447867,36,0.855741306,0.641805979,1.631256864,2.059127517,4.038029286,2.647449664,4.546125686,6.097156803,7.220317266,4.626351434,1.310353874,0.534838316,318,221,141,149,0,0,6,10,35,4,3,9,46,28,6,2,2,0,6,13,28,12,3,15,25,32,4,1,6,5,11,12,26,12,35,38,43,24,6,3,9,4,20,14,23,29,51,79,46,25,11,7
Iowa,IA,590,294983,33.65080995,18,0.0891509,0.237735734,0.742924168,0.802358102,1.307546536,0.921225969,3.001413641,4.457545011,3.744337809,1.36698047,0.624056302,0.237735734,176,108,35.00000001,38,0,0,2,4,7,1,0,6,8,6,4,0,0,0,2,3,3,0,2,6,6,8,5,0,1,1,4,3,6,6,24,29,21,8,3,2,1,2,7,4,9,15,30,57,36,14,0,1
Kansas,KS,356,415760,47.4287018,8,0.295179912,0.189758515,0.400601308,0.843371176,0.927708293,0.506022705,0.716865499,0.843371176,0.990961131,1.222888205,0.295179912,0.274095632,68.99999999,61.99999998,25.99999999,18,3,0,2,2,4,1,1,0,1,3,1,0,1,1,0,5,5,0,0,1,2,4,2,5,5,1,2,5,9,6,7,9,1,13,1,3,2,2,4,8,4,5,9,11,8,14,2,0
Kentucky,KY,2037,155962,17.79169519,114,1.348943973,1.461355971,4.608891909,9.55501981,17.25524166,7.700221847,12.75876175,16.58076967,22.42619355,13.48943973,4.777509905,2.52926995,367,387,282.9999999,449,1,0,28,53,93,6,11,39,129,66,21,2,0,1,10,20,55,16,13,29,85,40,9,5,8,10,12,30,43,28,44,70,61,51,19,11,3,4,9,25,44,40,80,78,32,35,8,9
Louisiana,LA,1466,804796,91.80880675,16,0.762454088,0.69710088,1.100112327,1.012974717,1.198142138,1.361525157,1.851674213,1.742752201,2.799295722,1.644722389,0.947621509,0.849591698,294,290,101,40.99999996,0,1,4,4,7,2,3,5,10,4,0,1,3,5,11,12,12,9,7,9,9,15,4,5,17,12,14,20,26,27,35,32,38,37,16,16,19,10,13,16,14,20,31,39,69,24,18,21
Maine,ME,284,109609,12.50387862,23,0.799751845,0,0.399875923,1.119652583,2.559205905,1.919404429,2.239305167,3.278982566,3.918784042,3.758833673,1.919404429,0.799751845,90,43,11,3.000000005,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0,3,3,0,0,1,0,1,2,6,3,6,9,3,8,3,1,0,0,4,5,8,64,5,14,18,10,13,3
Maryland,MD,1036,264175,30.13632215,34,0.63046844,0.663650989,1.924587868,2.754151604,4.711922022,2.588238857,4.546009275,5.143295165,3.948723385,4.147818681,2.42232611,0.895928835,186,204,140,137,0,0,6,7,24,3,3,13,21,37,20,3,2,2,14,8,24,5,8,13,19,25,15,5,4,4,10,13,27,9,37,35,29,20,10,6,8,3,9,16,23,10,35,40,10,12,5,2
Massachusetts,MA,1203,301170,34.35660507,35,0.931407511,1.135152904,1.135152904,2.066560414,3.230819802,2.444944715,4.889889431,6.083255303,3.725630042,4.511505129,3.812949496,1.047833449,363.0000001,214,69.99999999,27,0,0,2,2,2,1,2,4,5,7,2,0,2,1,6,7,10,4,7,10,6,11,6,0,6,11,9,9,20,12,34,40,21,18,29,5,9,6,9,10,34,28,53,61,44,45,51,13
Michigan,MI,1834,524609,59.84588182,31,0.501287626,0.484578038,1.386895764,1.487153289,2.272503903,2.673534003,7.185122634,5.697969344,3.943462655,3.458884617,0.935736901,0.618254738,703.0000002,238,61.99999998,40.99999998,0,1,1,4,5,1,3,6,7,7,5,1,2,0,4,3,5,3,10,9,8,11,3,4,5,2,7,14,19,16,59,40,36,28,12,0,7,9,29,27,60,24,185,141,88,67,13,13
Minnesota,MN,1018,466043,53.16484143,19,0.131665962,0.188094232,0.620710964,1.448325584,2.332368473,1.937370586,2.25713078,3.366886747,2.97188886,2.294749626,1.391897314,0.206903655,191,221,101,112,0,0,5,10,24,3,4,12,22,19,13,0,1,1,9,9,16,12,3,10,13,18,8,1,1,4,7,15,25,25,29,31,33,26,22,3,1,0,3,10,26,47,28,50,18,17,11,3
Mississippi,MS,412,317621,36.2332877,11,0.248390377,0.524379685,0.579577547,0.469181824,1.02116044,0.883165786,2.180315533,2.152716603,1.159155094,1.103957232,0.634775408,0.413983962,112,69.99999999,48.00000002,17.00000001,0,0,3,1,2,1,1,2,3,4,0,0,1,2,4,1,4,2,4,10,4,9,6,1,2,2,2,6,8,5,11,14,6,7,4,3,0,5,2,4,6,15,32,22,14,9,4,3
Missouri,MO,2191,375851,42.87599817,51,1.469353547,1.142830537,1.912491919,2.962030167,5.877414189,4.641291363,7.999813757,7.999813757,8.046459901,5.690829611,2.332307218,1.026215176,537,413,205,147,3,2,6,12,26,5,8,12,31,20,16,6,10,1,11,17,36,8,12,25,32,33,13,7,12,14,14,23,47,36,64,55,68,43,28,9,14,15,16,24,54,11,89,105,91,55,20,7
Montana,MT,174,230690,26.31644992,7,0.113997139,0.151996185,0.303992371,0.227994278,0.911977112,0.911977112,0.987975205,1.13997139,0.835979019,0.379990463,0.493987602,0.151996185,70.00000001,28.00000001,8.999999999,3.999999991,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,2,0,2,3,0,1,0,4,2,4,2,3,4,5,1,2,0,2,1,2,2,12,18,12,12,4,3,4,1
Nebraska,NE,985,224783,25.6425964,38,0.584964165,0.545966554,1.052935498,2.417851883,3.938758713,2.378854272,5.888639264,7.682529371,7.604534149,3.743770658,1.91088294,0.662959387,212,273,81.00000001,54.99999999,0,0,5,5,7,0,2,7,8,11,7,3,1,1,3,5,6,4,5,10,20,12,12,2,3,7,6,19,28,20,34,48,54,31,15,8,7,3,8,13,21,2,37,42,51,11,4,2
Nevada,NV,0,417905,47.67339722,0,0,0,0,0.020976059,0,0.020976059,0,0,0,0.020976059,0,0.020976059,0.999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1
New Hampshire,NH,369,129270,14.7467488,25,0.813738687,0.474680901,0.610304015,1.288419587,1.898723602,1.084984915,4.000881876,5.289301463,2.91589696,3.526200975,2.509027617,0.610304015,87,98,29.99999999,19,0,0,1,2,3,1,1,1,2,5,3,0,0,1,1,1,4,1,1,2,10,8,1,0,2,0,4,9,10,5,11,19,13,16,9,0,3,1,1,3,2,27,21,22,5,7,16,4
New Jersey,NJ,2538,413154,47.13141684,54,1.379122555,1.082080774,2.524855139,3.734239533,4.773885766,3.352328671,8.76273254,6.980481854,6.216660131,8.89003616,4.561713066,1.591295255,385,237,197,242,2,0,14,23,27,1,3,7,33,80,50,2,2,3,10,12,28,8,6,13,28,55,27,5,11,9,8,18,21,12,25,27,20,32,34,20,7,8,25,34,35,8,74,58,39,49,13,16
New Mexico,NM,286,298775,34.08339037,8,0.704155301,0.410757259,0.410757259,0.381417455,1.056232951,0.410757259,0.762834909,1.261611581,1.085572755,0.792174713,0.645475692,0.469436867,104,48.00000001,28.00000001,29,0,1,2,3,8,0,0,6,4,4,1,0,1,1,1,1,1,1,2,6,6,2,3,3,3,2,0,2,8,2,2,8,6,8,3,4,13,7,3,6,14,69,12,15,12,1,7,6
New York,NY,4380,566574,64.63312799,68,1.748329433,1.763801375,3.295523621,4.115536541,7.287284627,4.718942274,8.757119106,9.5307162,7.96805007,10.95413485,5.322348008,2.305319341,840.9999997,859.0000001,398,319,4,1,10,27,34,5,5,14,50,106,54,9,3,4,24,21,73,7,13,32,63,107,46,5,24,25,53,64,102,49,95,135,75,132,66,39,18,24,28,48,75,6,196,163,83,73,37,26
North Carolina,NC,1465,702590,80.14944102,18,0.511544428,0.474114348,0.711171523,1.210239258,2.008747634,1.010612164,2.358095048,2.73239585,2.595152223,2.445431902,1.409866352,0.81098507,380,375,167,202,0,3,9,15,22,5,3,12,53,57,23,0,3,1,7,12,24,5,11,20,36,32,11,5,17,15,12,21,47,28,48,62,47,31,26,21,13,10,14,22,30,12,80,72,45,26,29,21
North Dakota,ND,431,211882,24.17088752,18,0.124116253,0.248232507,0.455092929,1.530767125,1.654883378,1.57213921,2.937417997,4.302696784,2.399580899,1.985860054,0.37234876,0.248232507,104,58.99999999,34.00000001,19.00000001,0,1,0,4,2,0,1,2,4,3,1,1,0,0,1,8,3,2,3,5,5,5,2,0,1,1,1,7,9,5,7,14,9,5,0,0,1,1,3,2,4,13,21,27,18,12,1,2
Ohio,OH,2708,720762,82.22245038,33,0.474323008,0.717565576,1.605400951,2.189183114,2.943235076,3.137829131,6.141874849,7.114845122,4.268907073,2.29864227,1.386482639,0.656754934,652,369,124,98.00000004,0,0,11,9,19,3,2,8,15,21,8,2,3,2,11,12,16,7,14,15,20,16,6,2,5,8,23,29,31,31,58,88,48,24,15,9,7,14,18,38,61,22,124,166,86,32,25,12
Oklahoma,OK,879,817915,93.30538444,9,0.278654872,0.342959843,0.535874755,0.964574558,1.146771975,0.685919686,1.146771975,1.15748947,1.082467005,1.039597024,0.750224657,0.289372368,172,153,66.99999997,50.00000003,2,1,6,5,8,1,2,3,11,8,2,1,2,1,4,6,11,3,3,5,6,19,4,3,6,6,10,22,11,10,14,25,11,15,16,7,5,5,11,21,14,35,31,27,13,16,12,5
Oregon,OR,1213,617251,70.41421401,17,0.59647048,0.880504041,1.26394935,1.107730891,1.604789624,1.050924178,2.400083596,2.414285275,1.974033254,1.746806404,1.363361096,0.823697329,303,148,47,71.99999999,0,1,9,5,8,0,1,7,14,19,6,2,4,3,0,7,5,1,3,5,10,5,3,1,6,4,12,10,16,12,20,24,12,11,14,7,11,12,22,19,35,10,47,38,37,28,19,13
Pennsylvania,PA,2697,660716,75.37257586,36,0.902184902,0.849115202,1.605358429,2.162590281,3.66180931,2.215659981,5.37330714,7.098072394,4.364982837,4.471122237,2.056450881,1.021591728,610,676,269,228,2,0,12,16,37,7,5,26,27,63,29,4,9,6,13,22,46,3,12,26,51,50,20,11,13,19,20,34,63,52,109,138,86,79,43,20,10,10,25,32,50,2,128,179,58,49,22,12
Rhode Island,RI,325,35599,4.061031257,80,4.678614568,2.46242872,2.216185848,4.432371696,4.678614568,7.141043288,14.28208658,14.77457232,8.61850052,8.61850052,4.678614568,3.447400208,85,70,16,11,0,0,0,0,0,1,0,0,3,3,2,2,0,0,0,0,1,2,1,2,3,5,2,0,4,2,2,3,10,5,10,14,4,9,5,2,7,3,1,4,4,44,19,20,7,5,0,5
South Carolina,SC,482,254550,29.03832991,17,0.585433117,0.860931055,1.067554508,1.377489688,1.170866235,1.033117266,2.169546258,2.410606954,1.859611078,2.341732469,1.067554508,0.654307602,131,83.99999999,57.99999999,34.00000001,0,1,2,3,4,1,0,2,8,8,5,0,2,3,4,5,4,0,0,8,14,12,3,3,1,6,5,10,7,7,14,11,5,10,7,1,3,8,6,7,10,196,27,26,7,18,4,5
South Dakota,SD,330,139145,15.87326032,21,0.12599806,0.251996119,1.070983507,1.385978656,2.015968954,1.385978656,3.590944699,5.102921414,2.582960222,1.889970894,1.196981566,0.188997089,56,41,23.00000001,19,0,1,2,1,2,0,0,2,1,2,8,0,0,0,1,2,4,0,1,3,2,5,4,1,1,0,4,2,5,1,7,4,5,6,5,1,1,2,1,4,6,35,10,12,9,5,0,0
Tennessee,TN,2782,452994,51.67624914,54,1.490046226,1.509397476,2.767228705,5.244188665,7.759851125,3.192956198,6.463317395,6.347209897,7.314772382,6.850342389,3.134902449,1.760963722,450,580.0000001,493,702,6,9,47,119,128,23,21,62,118,123,38,8,8,11,18,49,100,9,29,40,87,92,38,12,31,22,29,42,56,37,81,78,77,59,34,34,8,16,21,25,47,28,117,68,32,31,26,15
Texas,TX,7956,2181945,248.9099932,32,1.00437912,1.076694417,1.546743845,3.266240899,3.804588108,2.944839581,3.969306283,3.985376349,3.832710723,3.503274372,1.960548043,1.068659384,1847,1348,626,708.0000001,2,14,42,130,147,33,51,76,96,89,24,4,18,13,45,80,77,38,39,64,94,87,47,24,50,54,73,125,177,120,173,157,161,137,80,41,57,68,73,154,199,4,275,255,193,179,112,86
Utah,UT,1307,373174,42.57061373,31,1.244990273,1.010086448,1.620836393,1.8792306,3.429595846,4.016855408,3.734970818,3.687990053,4.463172676,3.006768961,1.78526907,0.822163388,265,238,124,77.99999998,0,3,4,7,5,5,4,12,19,12,6,1,5,4,11,6,11,3,9,12,24,17,20,2,16,10,9,15,29,35,20,22,37,27,15,3,19,16,8,13,37,1,22,34,35,18,11,17
Vermont,VT,168,43679,4.982774355,34,1.605531262,1.605531262,1.80622267,1.404839855,2.006914078,0.802765631,5.017285195,6.020742234,6.422125049,4.415210971,1.605531262,1.003457039,42,25,6.000000001,2.000000002,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,2,0,3,3,3,1,0,1,2,2,4,2,2,2,3,4,3,0,1,5,9,5,8,5,1,2
Virginia,VA,850,585582,66.80150582,13,0.479031118,0.329333893,0.823334734,1.302365851,1.16763835,0.883213623,1.946063916,1.901154749,1.556851133,1.122729182,0.658667787,0.55387973,264,177,78.00000003,41.00000003,0,2,6,3,5,1,1,5,8,6,3,1,2,2,4,7,14,4,3,5,10,18,8,1,3,5,11,22,13,11,33,25,20,16,6,12,10,6,15,30,16,31,50,47,26,14,13,9
Washington,WA,1312,717345,81.83264887,16,0.794303996,0.720983627,0.708763566,1.380866947,1.698588545,1.344206762,2.089630513,1.942989775,1.894109529,1.771908914,1.002045041,0.684323443,274,215,81.99999999,79.00000003,2,2,5,12,8,3,4,5,11,19,6,2,7,5,4,16,10,3,6,7,12,7,2,3,5,8,12,20,26,15,32,22,26,23,15,11,11,15,9,15,34,3,46,34,31,23,18,7
West Virginia,WV,188,81755,9.326374629,20,0.2144456,0.750559599,1.072227998,0.965005198,2.144455997,1.501119198,2.466124396,4.288911993,3.216683995,2.144455997,0.750559599,0.643336799,81,48,14,8.999999995,0,0,0,0,2,0,0,1,3,2,1,0,0,0,1,0,1,0,0,2,7,1,2,0,0,2,3,2,6,7,5,11,5,3,2,2,2,3,5,6,6,,15,16,10,9,2,2
Wisconsin,WI,937,417042,47.57494867,20,0.189175191,0.126116794,0.546506107,1.786654581,2.396219086,2.101946566,3.131900384,3.258017178,2.606413742,2.101946566,0.987914886,0.462428245,236,185,66.00000001,31.00000002,0,0,0,3,5,0,1,4,13,4,1,0,0,0,6,8,6,1,8,7,17,7,5,1,0,1,7,14,26,24,23,27,21,22,14,6,2,2,6,21,31,,40,50,19,24,10,5
Wyoming,WY,105,128018,14.60392425,7,0.205424237,0.136949492,0.821696949,0.684747458,0.47932322,0.753222203,1.301020169,1.027121186,1.027121186,0.410848475,0.068474746,0.273898983,46.99999999,25,4,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,1,2,4,1,2,4,1,4,1,1,2,1,0,5,4,3,,8,9,8,4,0,2
